Czas [s] Y(t) [m]
Wyniki symulacji:
Czas [s]	Y(t) [m]
0	0
0,02	0,17
0,04	0,22
0,06	0,24
0,08	0,24
0,1	0,24
0,12	0,24
0,14	0,24
0,16	0,23
0,18	0,23
0,2	0,23
0,22	0,23
0,24	0,23
0,26	0,22
0,28	0,22
0,3	0,22
0,32	0,22
0,34	0,22
0,36	0,21
0,38	0,21
0,4	0,21
0,42	0,21
0,44	0,21
0,46	0,2
0,48	0,2
0,5	0,2
0,52	0,2
0,54	0,2
0,56	0,19
0,58	0,19
0,6	0,19
0,62	0,19
0,64	0,19
0,66	0,18
0,68	0,18
0,7	0,18
0,72	0,18
0,74	0,18
0,76	0,17
0,78	0,17
0,8	0,17
0,82	0,17
0,84	0,17
0,86	0,16
0,88	0,16
0,9	0,16
0,92	0,16
0,94	0,16
0,96	0,15
0,98	0,15
1	0,15
1,02	0,15
1,04	0,15
1,06	0,14
1,08	0,14
1,1	0,14
1,12	0,14
1,14	0,14
1,16	0,13
1,18	0,13
1,2	0,13
1,22	0,13
1,24	0,13
1,26	0,12
1,28	0,12
1,3	0,12
1,32	0,12
1,34	0,12
1,36	0,11
1,38	0,11
1,4	0,11
1,42	0,11
1,44	0,11
1,46	0,1
1,48	0,1
1,5	0,1
1,52	0,1
1,54	0,1
1,56	0,09
1,58	0,09
1,6	0,09
1,62	0,09
1,64	0,09
1,66	0,08
1,68	0,08
1,7	0,08
1,72	0,08
1,74	0,08
1,76	0,07
1,78	0,07
1,8	0,07
1,82	0,07
1,84	0,07
1,86	0,06
1,88	0,06
1,9	0,06
1,92	0,06
1,94	0,06
1,96	0,05
1,98	0,05
2	0,05
2,02	0,05
2,04	0,05
2,06	0,04
2,08	0,04
2,1	0,04
2,12	0,04
2,14	0,04
2,16	0,03
2,18	0,03
2,2	0,03
2,22	0,03
2,24	0,03
2,26	0,02
2,28	0,02
2,3	0,02
2,32	0,02
2,34	0,02
2,36	0,01
2,38	0,01
2,4	0,01
2,42	0,01
2,44	0,01
2,46	0
2,48	0
2,5	0
2,52	-0
2,54	-0
2,56	-0,01
2,58	-0,01
2,6	-0,01
2,62	-0,01
2,64	-0,01
2,66	-0,02
2,68	-0,02
2,7	-0,02
2,72	-0,02
2,74	-0,02
2,76	-0,03
2,78	-0,03
2,8	-0,03
2,82	-0,03
2,84	-0,03
2,86	-0,04
2,88	-0,04
2,9	-0,04
2,92	-0,04
2,94	-0,04
2,96	-0,05
2,98	-0,05
3	-0,05
3,02	-0,05
3,04	-0,05
3,06	-0,06
3,08	-0,06
3,1	-0,06
3,12	-0,06
3,14	-0,06
3,16	-0,07
3,18	-0,07
3,2	-0,07
3,22	-0,07
3,24	-0,07
3,26	-0,08
3,28	-0,08
3,3	-0,08
3,32	-0,08
3,34	-0,08
3,36	-0,09
3,38	-0,09
3,4	-0,09
3,42	-0,09
3,44	-0,09
3,46	-0,1
3,48	-0,1
3,5	-0,1
3,52	-0,1
3,54	-0,1
3,56	-0,11
3,58	-0,11
3,6	-0,11
3,62	-0,11
3,64	-0,11
3,66	-0,12
3,68	-0,12
3,7	-0,12
3,72	-0,12
3,74	-0,12
3,76	-0,13
3,78	-0,13
3,8	-0,13
3,82	-0,13
3,84	-0,13
3,86	-0,14
3,88	-0,14
3,9	-0,14
3,92	-0,14
3,94	-0,14
3,96	-0,15
3,98	-0,15
4	-0,15
4,02	-0,15
4,04	-0,15
4,06	-0,16
4,08	-0,16
4,1	-0,16
4,12	-0,16
4,14	-0,16
4,16	-0,17
4,18	-0,17
4,2	-0,17
4,22	-0,17
4,24	-0,17
4,26	-0,18
4,28	-0,18
4,3	-0,18
4,32	-0,18
4,34	-0,18
4,36	-0,19
4,38	-0,19
4,4	-0,19
4,42	-0,19
4,44	-0,19
4,46	-0,2
4,48	-0,2
4,5	-0,2
4,52	-0,2
4,54	-0,2
4,56	-0,21
4,58	-0,21
4,6	-0,21
4,62	-0,21
4,64	-0,21
4,66	-0,22
4,68	-0,22
4,7	-0,22
4,72	-0,22
4,74	-0,22
4,76	-0,23
4,78	-0,23
4,8	-0,23
4,82	-0,23
4,84	-0,23
4,86	-0,24
4,88	-0,24
4,9	-0,24
4,92	-0,24
4,94	-0,24
4,96	-0,25
4,98	-0,25
5	-0,25
